##name	300-ru-en
##sourceLang	Russian
##targetLang	English
олицетворять(transitive)|олицетворяв|олицетворявшая|олицетворявшего|олицетворявшее|олицетворявшей|олицетворявшем|олицетворявшему|олицетворявши|олицетворявшие|олицетворявший|олицетворявшим|олицетворявшими|олицетворявших|олицетворявшую|олицетворяема|олицетворяемая|олицетворяемо|олицетворяемого|олицетворяемое|олицетворяемой|олицетворяемом|олицетворяемому|олицетворяемую|олицетворяемы|олицетворяемые|олицетворяемый|олицетворяемым|олицетворяемыми|олицетворяемых|олицетворяющая|олицетворяющего|олицетворяющее|олицетворяющей|олицетворяющем|олицетворяющему|олицетворяющие|олицетворяющий|олицетворяющим|олицетворяющими|олицетворяющих|олицетворяющую|олицетворяя	<font color="#007000">verb</font> олицетворять<br>\nembody, incarnate; impersonate; personify, typify
опал|опала|опалам|опалами|опалах|опале|опалов|опалом|опалу|опалы	<font color="#007000">noun</font> опал (m) <br>\nopal, iridescent semi-precious stone of hydrated silica
оползень|оползене|оползеней|оползенем|оползени|оползеню|оползеня|оползеням|оползенями|оползенях	<font color="#007000">noun</font> оползень (m) <br>\nlandslide, landslip
ополчиться(transitive)|ополчившаяся|ополчившегося|ополчившееся|ополчившейся|ополчившемся|ополчившемуся|ополчившиеся|ополчившийся|ополчившимися|ополчившимся|ополчившись|ополчившихся|ополчившуюся	<font color="#007000">verb</font> ополчиться<br>\nrise in arms
организовать диверсии|организовать диверсия	<font color="#007000">verb</font><br>\nengineer acts of sabotage
орошать|ороси|оросил|оросила|оросили|оросило|оросим|оросит|оросите|оросить|оросишь|оросят|орошаем|орошает|орошаете|орошаешь|орошай|орошайте|орошал|орошала|орошали|орошало|орошаю|орошают|орошу	<font color="#007000">verb</font><br>\n<I>(perf. ><B>оросить</B>)</I> irrigate; shower; water; flood
освободительная война|освободительный война	<font color="#007000">noun</font><br>\nliberation war
оселок|оселка|оселкам|оселками|оселках|оселке|оселки|оселков|оселком|оселку	<font color="#007000">noun</font> оселок (m) <br>\ntouchstone; hone, whetstone
осматривающий|осматривающая|осматривающего|осматривающее|осматривающей|осматривающем|осматривающему|осматривающие|осматривающим|осматривающими|осматривающих|осматривающую	<font color="#007000">adjective</font><br>\ncircumspective
основанный на вере|основанный на вера	<font color="#007000">adjective</font><br>\nfiducial
остроумие|остроумием|остроумии|остроумий|остроумию|остроумия|остроумиям|остроумиями|остроумиях	<font color="#007000">noun</font> остроумие (n) <br>\nesprit, lively wit, smartness
осязательный(transitive)|осязателен|осязательна|осязательно|осязательны	<font color="#007000">adjective</font> осязательный<br>\ntactile, tangible, pertaining to the sense of touch
открытка|открыткe|открыткам|открытками|открытках|открытке|открытки|открыткой|открыткою|открытку|открыток	<font color="#007000">noun</font> открытка (f) <br>\npostcard, small card sent by mail (often with a photograph on one side)
отлакировать|отлакировал|отлакировала|отлакировали|отлакировало|отлакируем|отлакирует|отлакируете|отлакируешь|отлакируй|отлакируйте|отлакирую|отлакируют	<font color="#007000">verb</font><br>\nvarnish
оттолкнуть(transitive)|оттолкнув|оттолкнувшая|оттолкнувшего|оттолкнувшее|оттолкнувшей|оттолкнувшем|оттолкнувшему|оттолкнувши|оттолкнувшие|оттолкнувший|оттолкнувшим|оттолкнувшими|оттолкнувших|оттолкнувшую|оттолкнута|оттолкнутая|оттолкнуто|оттолкнутого|оттолкнутое|оттолкнутой|оттолкнутом|оттолкнутому|оттолкнутую|оттолкнуты|оттолкнутые|оттолкнутый|оттолкнутым|оттолкнутыми|оттолкнутых	<font color="#007000">verb</font> оттолкнуть<br>\njostle away, spurn, repel
оцинкованное железо|оцинкованный железо	<font color="#007000">noun</font><br>\ngalvanized iron
очевидно	<font color="#007000">adverb</font><br>\nevidently, obviously, apparently, clearly
очень давно	<font color="#007000">adverb</font><br>\nyears and years ago
паросский|паросская|паросские|паросским|паросскими|паросских|паросского|паросское|паросской|паросском|паросскому|паросскую	<font color="#007000">adjective</font><br>\nParian
первобытность|первобытностей|первобытности|первобытностью|первобытностям|первобытностями|первобытностях	<font color="#007000">noun</font> первобытность (f) <br>\nprimitive state
перекраивать(transitive)|перекраивав|перекраивавшая|перекраивавшего|перекраивавшее|перекраивавшей|перекраивавшем|перекраивавшему|перекраивавши|перекраивавшие|перекраивавший|перекраивавшим|перекраивавшими|перекраивавших|перекраивавшую|перекраиваема|перекраиваемая|перекраиваемо|перекраиваемого|перекраиваемое|перекраиваемой|перекраиваемом|перекраиваемому|перекраиваемую|перекраиваемы|перекраиваемые|перекраиваемый|перекраиваемым|перекраиваемыми|перекраиваемых|перекраивающая|перекраивающего|перекраивающее|перекраивающей|перекраивающем|перекраивающему|перекраивающие|перекраивающий|перекраивающим|перекраивающими|перекраивающих|перекраивающую|перекраивая	<font color="#007000">verb</font> перекраивать<br>\nrehash, make superficial changes to old ideas or creations and present them as new
перелезать(transitive)|перелезав|перелезавшая|перелезавшего|перелезавшее|перелезавшей|перелезавшем|перелезавшему|перелезавши|перелезавшие|перелезавший|перелезавшим|перелезавшими|перелезавших|перелезавшую|перелезаема|перелезаемая|перелезаемо|перелезаемого|перелезаемое|перелезаемой|перелезаемом|перелезаемому|перелезаемую|перелезаемы|перелезаемые|перелезаемый|перелезаемым|перелезаемыми|перелезаемых|перелезающая|перелезающего|перелезающее|перелезающей|перелезающем|перелезающему|перелезающие|перелезающий|перелезающим|перелезающими|перелезающих|перелезающую|перелезая|перелезшая|перелезшего|перелезшее|перелезшей|перелезшем|перелезшему|перелезши|перелезшие|перелезший|перелезшим|перелезшими|перелезших|перелезшую	<font color="#007000">verb</font> перелезать<br>\n<I>(perf. ><B>перелезть,,ь</B>)</I> climb over
перестилать(transitive)|перестелив|перестелившая|перестелившего|перестелившее|перестелившей|перестелившем|перестелившему|перестеливши|перестелившие|перестеливший|перестелившим|перестелившими|перестеливших|перестелившую|перестелин|перестелина|перестелинная|перестелинного|перестелинное|перестелинной|перестелинном|перестелинному|перестелинную|перестелинные|перестелинный|перестелинным|перестелинными|перестелинных|перестелино|перестелины|перестилав|перестилавшая|перестилавшего|перестилавшее|перестилавшей|перестилавшем|перестилавшему|перестилавши|перестилавшие|перестилавший|перестилавшим|перестилавшими|перестилавших|перестилавшую|перестилаема|перестилаемая|перестилаемо|перестилаемого|перестилаемое|перестилаемой|перестилаемом|перестилаемому|перестилаемую|перестилаемы|перестилаемые|перестилаемый|перестилаемым|перестилаемыми|перестилаемых|перестилающая|перестилающего|перестилающее|перестилающей|перестилающем|перестилающему|перестилающие|перестилающий|перестилающим|перестилающими|перестилающих|перестилающую|перестилая	<font color="#007000">verb</font> перестилать<br>\n<I>(perf. ><B>перестелить</B>)</I> relay
пинка|пинкe|пинкам|пинками|пинках|пинке|пинки|пинкой|пинкою|пинку|пинок	<font color="#007000">noun</font> пинка (f) <br>\npink
плантатор|плантатора|плантаторам|плантаторами|плантаторах|плантаторе|плантаторов|плантатором|плантатору|плантаторы	<font color="#007000">noun</font> плантатор (m) <br>\nplanter, owner of a plantation
побежденный(transitive)|побежден|побеждена|побеждено|побеждены	<font color="#007000">adjective</font> побежденный<br>\nbeaten, defeated
повторяющий|повторяющая|повторяющего|повторяющее|повторяющей|повторяющем|повторяющему|повторяющие|повторяющим|повторяющими|повторяющих|повторяющую	<font color="#007000">adjective</font><br>\nrepeating
погост|погоста|погостам|погостами|погостах|погосте|погостов|погостом|погосту|погосты	<font color="#007000">noun</font> погост (m) <br>\nchurchyard
подкатывать|подкатываем|подкатывает|подкатываете|подкатываешь|подкатывай|подкатывайте|подкатывал|подкатывала|подкатывали|подкатывало|подкатываю|подкатывают	<font color="#007000">verb</font><br>\ndrive up
подле	<font color="#007000">adverb</font><br>\nnear
подсуживать|подсуживаем|подсуживает|подсуживаете|подсуживаешь|подсуживай|подсуживайте|подсуживал|подсуживала|подсуживали|подсуживало|подсуживаю|подсуживают	<font color="#007000">verb</font><br>\nfavor
покрыть дефицит	meet a deficit
полеживать(transitive)|полеживав|полеживавшая|полеживавшего|полеживавшее|полеживавшей|полеживавшем|полеживавшему|полеживавши|полеживавшие|полеживавший|полеживавшим|полеживавшими|полеживавших|полеживавшую|полеживаема|полеживаемая|полеживаемо|полеживаемого|полеживаемое|полеживаемой|полеживаемом|полеживаемому|полеживаемую|полеживаемы|полеживаемые|полеживаемый|полеживаемым|полеживаемыми|полеживаемых|полеживающая|полеживающего|полеживающее|полеживающей|полеживающем|полеживающему|полеживающие|полеживающий|полеживающим|полеживающими|полеживающих|полеживающую|полеживая	<font color="#007000">verb</font> полеживать<br>\nlie down
полиграфия|полиграфией|полиграфиею|полиграфии|полиграфий|полиграфию|полиграфиям|полиграфиями|полиграфиях	<font color="#007000">noun</font> полиграфия (f) <br>\npolygraphy
полновластный(transitive)|полновластен|полновластна|полновластно|полновластны	<font color="#007000">adjective</font> полновластный<br>\nsovereign
полужидкий|полужидкая|полужидкие|полужидким|полужидкими|полужидких|полужидкого|полужидкое|полужидкой|полужидком|полужидкому|полужидкую	<font color="#007000">adjective</font><br>\nsemifluid, having the qualities of both a liquid and a solid
получить слово	get the floor
попасть пальцем в небо|попасть палец в небо	take the wrong sow by the ear, get the wrong sow by the ear, find a mare's nest
пособия|пособий|пособиям|пособиями|пособиях	<font color="#007000">noun</font> пособия (pl) <br>\naid
поставлять(transitive)|поставляв|поставлявшая|поставлявшего|поставлявшее|поставлявшей|поставлявшем|поставлявшему|поставлявши|поставлявшие|поставлявший|поставлявшим|поставлявшими|поставлявших|поставлявшую|поставляема|поставляемая|поставляемо|поставляемого|поставляемое|поставляемой|поставляемом|поставляемому|поставляемую|поставляемы|поставляемые|поставляемый|поставляемым|поставляемыми|поставляемых|поставляющая|поставляющего|поставляющее|поставляющей|поставляющем|поставляющему|поставляющие|поставляющий|поставляющим|поставляющими|поставляющих|поставляющую|поставляя	<font color="#007000">verb</font> поставлять<br>\npurvey, supply; deliver; cater
постоянный(transitive)|постоянен|постоянна|постояннее|постоянней|постоянно|постоянны	<font color="#007000">adjective</font> постоянный<br>\ncontinual, perpetual, constant; continuous, uninterrupted; perdurable, permanent; direct; in ordinary
потерпеть	<font color="#007000">verb</font><br>\nsuffer, endure
потерпеть фиаско	go flop
потом	<font color="#007000">adverb</font><br>\nafter, afterwards, next, subsequently, then
поэзия|поэзией|поэзиею|поэзии|поэзий|поэзию|поэзиям|поэзиями|поэзиях	<font color="#007000">noun</font> поэзия (f) <br>\npoetry, verse; rhyme; strain
праздник Первого мая|праздник Первого май	<font color="#007000">noun</font><br>\nMay Day, holiday celebrated on the 1st of May in honor of workers and labor organizations
прежний	<font color="#007000">prefix</font><br>\nex
презрительно	<font color="#007000">adverb</font><br>\ncontemptuously, scornfully
преувеличивающий|преувеличивающая|преувеличивающего|преувеличивающее|преувеличивающей|преувеличивающем|преувеличивающему|преувеличивающие|преувеличивающим|преувеличивающими|преувеличивающих|преувеличивающую	<font color="#007000">adjective</font><br>\nexaggerative
приведение в действие	<font color="#007000">noun</font><br>\noperation, actuation
прививка|прививкe|прививкам|прививками|прививках|прививке|прививки|прививкой|прививкою|прививку|прививок	<font color="#007000">noun</font> прививка (f) <br>\ngraft; vaccination, inoculation; jab
приличествовать	<font color="#007000">verb</font><br>\nbefit, beseem, become
применимый(transitive)|применим|применима|применимо|применимы	<font color="#007000">adjective</font> применимый<br>\napplicable
проектировать|спроектировать	<font color="#007000">verb</font><br>\n<I>(perf. ><B>спроектировать</B>)</I> project, scheme, plan; design; engineer
просроченный(transitive)|просрочен|просрочена|просрочено|просрочены	<font color="#007000">adjective</font> просроченный<br>\noverdue; outstanding, unsettled; back
протирать|протереть	<font color="#007000">verb</font><br>\n<I>(perf. ><B>протереть</B>)</I> clean; wipe, rub; fray
проявить неуважение к кому л.	put a slight upon smb.
пустые слова|пустой слова	<font color="#007000">noun</font><br>\nempty words, words empty of meaning, fluent phrases, froth, something unsubstantial, verbalism, vacuity, lip service, wind
работать с душой	put life into one's work
развесистый|развесистая|развесистого|развесистое|развесистой|развесистом|развесистому|развесистую|развесистые|развесистым|развесистыми|развесистых	<font color="#007000">adjective</font><br>\nspreading; branching
раздосадованный|раздосадованная|раздосадованного|раздосадованное|раздосадованной|раздосадованном|раздосадованному|раздосадованную|раздосадованные|раздосадованным|раздосадованными|раздосадованных	<font color="#007000">adjective</font><br>\nvexed, annoyed; dissatisfied, discontented; sick
раззадорить(transitive)|раззадоривав|раззадоривавшая|раззадоривавшего|раззадоривавшее|раззадоривавшей|раззадоривавшем|раззадоривавшему|раззадоривавши|раззадоривавшие|раззадоривавший|раззадоривавшим|раззадоривавшими|раззадоривавших|раззадоривавшую|раззадориваема|раззадориваемая|раззадориваемо|раззадориваемого|раззадориваемое|раззадориваемой|раззадориваемом|раззадориваемому|раззадориваемую|раззадориваемы|раззадориваемые|раззадориваемый|раззадориваемым|раззадориваемыми|раззадориваемых|раззадоривающая|раззадоривающего|раззадоривающее|раззадоривающей|раззадоривающем|раззадоривающему|раззадоривающие|раззадоривающий|раззадоривающим|раззадоривающими|раззадоривающих|раззадоривающую|раззадоривая	<font color="#007000">verb</font> раззадорить<br>\n<I>(imperf. ><B>раззадоривать</B>)</I> whet, stimulate
раззванивать(transitive)|раззванивав|раззванивавшая|раззванивавшего|раззванивавшее|раззванивавшей|раззванивавшем|раззванивавшему|раззванивавши|раззванивавшие|раззванивавший|раззванивавшим|раззванивавшими|раззванивавших|раззванивавшую|раззваниваема|раззваниваемая|раззваниваемо|раззваниваемого|раззваниваемое|раззваниваемой|раззваниваемом|раззваниваемому|раззваниваемую|раззваниваемы|раззваниваемые|раззваниваемый|раззваниваемым|раззваниваемыми|раззваниваемых|раззванивающая|раззванивающего|раззванивающее|раззванивающей|раззванивающем|раззванивающему|раззванивающие|раззванивающий|раззванивающим|раззванивающими|раззванивающих|раззванивающую|раззванивая|раззвонив|раззвонившая|раззвонившего|раззвонившее|раззвонившей|раззвонившем|раззвонившему|раззвонивши|раззвонившие|раззвонивший|раззвонившим|раззвонившими|раззвонивших|раззвонившую	<font color="#007000">verb</font> раззванивать<br>\n<I>(perf. ><B>раззвонить</B>)</I> trumpet
различаться(transitive)|различавшаяся|различавшегося|различавшееся|различавшейся|различавшемся|различавшемуся|различавшиеся|различавшийся|различавшимися|различавшимся|различавшись|различавшихся|различавшуюся|различающаяся|различающегося|различающееся|различающейся|различающемся|различающемуся|различающиеся|различающийся|различающимися|различающимся|различающихся|различающуюся|различаясь	<font color="#007000">verb</font> различаться<br>\ndiffer, differentiate
размякать(transitive)|размякав|размякавшая|размякавшего|размякавшее|размякавшей|размякавшем|размякавшему|размякавши|размякавшие|размякавший|размякавшим|размякавшими|размякавших|размякавшую|размякающая|размякающего|размякающее|размякающей|размякающем|размякающему|размякающие|размякающий|размякающим|размякающими|размякающих|размякающую|размякая|размякнув|размякшая|размякшего|размякшее|размякшей|размякшем|размякшему|размякши|размякшие|размякший|размякшим|размякшими|размякших|размякшую	<font color="#007000">verb</font> размякать<br>\n<I>(perf. ><B>размякнуть</B>)</I> soften
разъяснять|разъясняем|разъясняет|разъясняете|разъясняешь|разъясняй|разъясняйте|разъяснял|разъясняла|разъясняли|разъясняло|разъясняю|разъясняют	<font color="#007000">verb</font><br>\nexpound, explain; elucidate, illuminate
распарывать|распарываем|распарывает|распарываете|распарываешь|распарывай|распарывайте|распарывал|распарывала|распарывали|распарывало|распарываю|распарывают	<font color="#007000">verb</font><br>\nrip up; unpick, unstitch
распутный|распутная|распутного|распутное|распутной|распутном|распутному|распутную|распутные|распутным|распутными|распутных	<font color="#007000">adjective</font><br>\ndebauched, depraved, wanton, corrupt, licentious
расстричь(transitive)|расстригав|расстригавшая|расстригавшего|расстригавшее|расстригавшей|расстригавшем|расстригавшему|расстригавши|расстригавшие|расстригавший|расстригавшим|расстригавшими|расстригавших|расстригавшую|расстригаема|расстригаемая|расстригаемо|расстригаемого|расстригаемое|расстригаемой|расстригаемом|расстригаемому|расстригаемую|расстригаемы|расстригаемые|расстригаемый|расстригаемым|расстригаемыми|расстригаемых|расстригающая|расстригающего|расстригающее|расстригающей|расстригающем|расстригающему|расстригающие|расстригающий|расстригающим|расстригающими|расстригающих|расстригающую|расстригая|расстригшая|расстригшего|расстригшее|расстригшей|расстригшем|расстригшему|расстригши|расстригшие|расстригший|расстригшим|расстригшими|расстригших|расстригшую|расстрижен|расстрижена|расстриженная|расстриженного|расстриженное|расстриженной|расстриженном|расстриженному|расстриженную|расстриженные|расстриженный|расстриженным|расстриженными|расстриженных|расстрижено|расстрижены	<font color="#007000">verb</font> расстричь<br>\n<I>(imperf. ><B>расстригать</B>)</I> defrock
рдеть|рдеем|рдеет|рдеете|рдеешь|рдей|рдейте|рдел|рдела|рдели|рдело|рдею|рдеют	<font color="#007000">verb</font><br>\nglow; color up; color
реабилитированный|реабилитированная|реабилитированного|реабилитированное|реабилитированной|реабилитированном|реабилитированному|реабилитированную|реабилитированные|реабилитированным|реабилитированными|реабилитированных	<font color="#007000">adjective</font><br>\nexonerate
ревербератор|ревербератора|ревербераторам|ревербераторами|ревербераторах|ревербераторе|ревербераторов|ревербератором|ревербератору|ревербераторы	<font color="#007000">noun</font> ревербератор (m) <br>\nreverberator
регулирующийся|регулирующаяся|регулирующегося|регулирующееся|регулирующейся|регулирующемся|регулирующемуся|регулирующиеся|регулирующимися|регулирующимся|регулирующихся|регулирующуюся	<font color="#007000">adjective</font><br>\nadjustable, capable of being adjusted
резкие черты лица|резкий черты лицо	<font color="#007000">noun</font><br>\nrugged features
ремень безопасности|ремень безопасность	<font color="#007000">noun</font><br>\nsafety belt, seat belt
респонсорий|респонсориев|респонсорием|респонсории|респонсорию|респонсория|респонсориям|респонсориями|респонсориях	<font color="#007000">noun</font> респонсорий (m) <br>\nresponsory
речушка|речушек|речушкe|речушкам|речушками|речушках|речушке|речушки|речушкой|речушкою|речушку	<font color="#007000">noun</font> речушка (f) <br>\nrivulet, small stream, brook, creek
робототехника|робототехник|робототехникe|робототехникам|робототехниками|робототехниках|робототехнике|робототехники|робототехникой|робототехникою|робототехнику	<font color="#007000">noun</font> робототехника (f) <br>\nrobotics, technology dealing with the construction and use of robots
рок|рока|рокам|роками|роках|роке|роки|роков|роком|року	<font color="#007000">noun</font> рок (m) <br>\nfate, doom; destiny, kismet; rock and roll, rock music
роялист|роялиста|роялистам|роялистами|роялистах|роялисте|роялистов|роялистом|роялисту|роялисты	<font color="#007000">noun</font> роялист (m) <br>\nroyalist; cavalier
с головы до ног|с голова до ноги	at every pore, every inch
салака|салак|салакe|салакам|салаками|салаках|салаке|салаки|салакой|салакою|салаку	<font color="#007000">noun</font> салака (f) <br>\nsprat
сатурнизм|сатурнизма|сатурнизмам|сатурнизмами|сатурнизмах|сатурнизме|сатурнизмов|сатурнизмом|сатурнизму|сатурнизмы	<font color="#007000">noun</font> сатурнизм (m) <br>\nsaturnism (Medicine), lead poisoning, condition resulting from the absorption of lead into the body (causes anemia, muscle weakness, and nausea)
свистать(transitive)|свистав|свиставшая|свиставшего|свиставшее|свиставшей|свиставшем|свиставшему|свиставши|свиставшие|свиставший|свиставшим|свиставшими|свиставших|свиставшую|свистающая|свистающего|свистающее|свистающей|свистающем|свистающему|свистающие|свистающий|свистающим|свистающими|свистающих|свистающую|свистая	<font color="#007000">verb</font> свистать<br>\npipe, make a high-pitched sound
сводчатый|сводчатая|сводчатого|сводчатое|сводчатой|сводчатом|сводчатому|сводчатую|сводчатые|сводчатым|сводчатыми|сводчатых	<font color="#007000">adjective</font><br>\narch, vaulted, convex, curved
сгладить(transitive)|сгладив|сгладившая|сгладившего|сгладившее|сгладившей|сгладившем|сгладившему|сгладивши|сгладившие|сгладивший|сгладившим|сгладившими|сгладивших|сгладившую|сглажен|сглажена|сглаженная|сглаженного|сглаженное|сглаженной|сглаженном|сглаженному|сглаженную|сглаженные|сглаженный|сглаженным|сглаженными|сглаженных|сглажено|сглажены	<font color="#007000">verb</font> сгладить<br>\nsmooth
северо-запад|северо запад	<font color="#007000">noun</font> северо-запад (m) <br>\nnorth west
сжатость|сжатостей|сжатости|сжатостью|сжатостям|сжатостями|сжатостях	<font color="#007000">noun</font> сжатость (f) <br>\nbriefness, conciseness; condensation, something that has been shortened
сказываться(transitive)|сказавшаяся|сказавшегося|сказавшееся|сказавшейся|сказавшемся|сказавшемуся|сказавшиеся|сказавшийся|сказавшимися|сказавшимся|сказавшись|сказавшихся|сказавшуюся|сказывавшаяся|сказывавшегося|сказывавшееся|сказывавшейся|сказывавшемся|сказывавшемуся|сказывавшиеся|сказывавшийся|сказывавшимися|сказывавшимся|сказывавшись|сказывавшихся|сказывавшуюся|сказывающаяся|сказывающегося|сказывающееся|сказывающейся|сказывающемся|сказывающемуся|сказывающиеся|сказывающийся|сказывающимися|сказывающимся|сказывающихся|сказывающуюся|сказываясь	<font color="#007000">verb</font> сказываться<br>\n<I>(perf. ><B>сказаться</B>)</I> tell; tell the truth
слесарь-монтажник|слесарь монтажник	<font color="#007000">noun</font> слесарь-монтажник (m) <br>\nfitter
слоновость|слоновостей|слоновости|слоновостью|слоновостям|слоновостями|слоновостях	<font color="#007000">noun</font> слоновость (f) <br>\nelephantiasis, abnormal enlargement of parts of the body (disease)
смотри ниже	<font color="#007000">adverb</font><br>\nvide infra
сосняк|сосняка|соснякам|сосняками|сосняках|сосняке|сосняки|сосняков|сосняком|сосняку	<font color="#007000">noun</font> сосняк (m) <br>\npinery, pine forest
сочинение|сочинением|сочинении|сочинений|сочинению|сочинения|сочинениям|сочинениями|сочинениях	<font color="#007000">noun</font> сочинение (n) <br>\ncomposition; work; coordination; opus, musical work or composition
спрыскивать|спрыскиваем|спрыскивает|спрыскиваете|спрыскиваешь|спрыскивай|спрыскивайте|спрыскивал|спрыскивала|спрыскивали|спрыскивало|спрыскиваю|спрыскивают|спрыснуть	<font color="#007000">verb</font><br>\n<I>(perf. ><B>спрыснуть</B>)</I> sprinkle
старающийся замаскировать бедность	<font color="#007000">adjective</font><br>\nshabby genteel
стелить постель	<font color="#007000">verb</font><br>\nmake the bed
стрельба из лука	<font color="#007000">noun</font><br>\narchery
суммирующий|суммирующая|суммирующего|суммирующее|суммирующей|суммирующем|суммирующему|суммирующие|суммирующим|суммирующими|суммирующих|суммирующую	<font color="#007000">adjective</font><br>\nrecapitulative, summarizing
существенный(transitive)|существен|существенна|существенно|существенны	<font color="#007000">adjective</font> существенный<br>\nimportant, significant; essential, integral, intrinsic; substantial; constitutive
сыро	<font color="#007000">adverb</font><br>\nit is wet
также ... не	<font color="#007000">conjunction</font><br>\nnor
танжерский|танжерская|танжерские|танжерским|танжерскими|танжерских|танжерского|танжерское|танжерской|танжерском|танжерскому|танжерскую	<font color="#007000">adjective</font><br>\ntangerine
телефонный аппарат	<font color="#007000">noun</font><br>\ntelephone set
ткань|тканей|ткани|тканью|тканям|тканями|тканях	<font color="#007000">noun</font> ткань (f) <br>\ncloth, fabric, material (woven of wool, cotton, etc.); textile, weave; tissue (Biology)
топотать	<font color="#007000">verb</font><br>\nbrattle; patter
трихина|трихин|трихинe|трихинам|трихинами|трихинах|трихине|трихиной|трихиною|трихину|трихины	<font color="#007000">noun</font> трихина (f) <br>\ntrichina, parasitic worm which lives in the intestine and whose larva encysts in muscle tissue, Trichinella spiralis
троглодит|троглодита|троглодитам|троглодитами|троглодитах|троглодите|троглодитов|троглодитом|троглодиту|троглодиты	<font color="#007000">noun</font> троглодит (m) <br>\ntroglodyte, cave dweller
трубадур|трубадура|трубадурам|трубадурами|трубадурах|трубадуре|трубадуров|трубадуром|трубадуру|трубадуры	<font color="#007000">noun</font> трубадур (m) <br>\ntroubadour, medieval European poet and musician
трюизм|трюизма|трюизмам|трюизмами|трюизмах|трюизме|трюизмов|трюизмом|трюизму|трюизмы	<font color="#007000">noun</font> трюизм (m) <br>\ntruism
убраться подобру поздорову	save one's bacon, vamoose
углекислота|углекислот|углекислотe|углекислотам|углекислотами|углекислотах|углекислоте|углекислотой|углекислотою|углекислоту|углекислоты	<font color="#007000">noun</font> углекислота (f) <br>\ncarbon dioxide
угловая скорость|угловой скорость	<font color="#007000">noun</font><br>\nangular velocity, rate of change of angular displacement
укладывать(transitive)|укладывав|укладывавшая|укладывавшего|укладывавшее|укладывавшей|укладывавшем|укладывавшему|укладывавши|укладывавшие|укладывавший|укладывавшим|укладывавшими|укладывавших|укладывавшую|укладываема|укладываемая|укладываемо|укладываемого|укладываемое|укладываемой|укладываемом|укладываемому|укладываемую|укладываемы|укладываемые|укладываемый|укладываемым|укладываемыми|укладываемых|укладывающая|укладывающего|укладывающее|укладывающей|укладывающем|укладывающему|укладывающие|укладывающий|укладывающим|укладывающими|укладывающих|укладывающую|укладывая	<font color="#007000">verb</font> укладывать<br>\nlay, lay down, settle, stow, set
укрывать краденное	<font color="#007000">verb</font><br>\nreceive stolen goods
улыбка фортуны|улыбка фортуна	<font color="#007000">noun</font><br>\nsmiles of fortune
униформа|униформ|униформe|униформам|униформами|униформах|униформе|униформой|униформою|униформу|униформы	<font color="#007000">noun</font> униформа (f) <br>\nuniform, distinctive and identifying dress of a particular group (army, police, sports, etc.), official outfit of a certain group
уплетать|уплетаем|уплетает|уплетаете|уплетаешь|уплетай|уплетайте|уплетал|уплетала|уплетали|уплетало|уплетаю|уплетают	<font color="#007000">verb</font><br>\n(Colloquial) tuck into
уползать|уполз|уползаем|уползает|уползаете|уползаешь|уползай|уползайте|уползал|уползала|уползали|уползало|уползаю|уползают|уползем|уползет|уползете|уползешь|уползи|уползите|уползла|уползли|уползло|уползти|уползу|уползут	<font color="#007000">verb</font><br>\n<I>(perf. ><B>уползти</B>)</I> crawl away, creep away
урановая смолка|урановый смолка	<font color="#007000">noun</font><br>\npitchblende
учительский|учительская|учительские|учительским|учительскими|учительских|учительского|учительское|учительской|учительском|учительскому|учительскую	<font color="#007000">adjective</font><br>\nteacher's
футеровать|футеровал|футеровала|футеровали|футеровало|футеруем|футерует|футеруете|футеруешь|футеруй|футеруйте|футерую|футеруют	<font color="#007000">verb</font><br>\nfettle; line
ходить на яхте|ходить на яхта	<font color="#007000">verb</font><br>\nyacht
хозяйствовать(transitive)|хозяйствовав|хозяйствовавшая|хозяйствовавшего|хозяйствовавшее|хозяйствовавшей|хозяйствовавшем|хозяйствовавшему|хозяйствовавши|хозяйствовавшие|хозяйствовавший|хозяйствовавшим|хозяйствовавшими|хозяйствовавших|хозяйствовавшую|хозяйствующая|хозяйствующего|хозяйствующее|хозяйствующей|хозяйствующем|хозяйствующему|хозяйствующие|хозяйствующий|хозяйствующим|хозяйствующими|хозяйствующих|хозяйствующую|хозяйствуя	<font color="#007000">verb</font> хозяйствовать<br>\nkeep house, take care of a home, tend to household chores (i.e. cook, clean, etc.); manage
хоронить(transitive)|хоронив|хоронившая|хоронившего|хоронившее|хоронившей|хоронившем|хоронившему|хоронивши|хоронившие|хоронивший|хоронившим|хоронившими|хоронивших|хоронившую|хороня|хоронящая|хоронящего|хоронящее|хоронящей|хоронящем|хоронящему|хоронящие|хоронящий|хоронящим|хоронящими|хоронящих|хоронящую	<font color="#007000">verb</font> хоронить<br>\n<I>(perf. ><B>захоронить</B>)</I> bury, inter; plant
царить в сердцах|царить в сердце	<font color="#007000">verb</font><br>\nbe enthroned in the hearts
цвета меди|цвет медь	<font color="#007000">adjective</font><br>\ncoppery
цветочный сок	<font color="#007000">noun</font><br>\nnectar
чайная|чайной|чайную|чайные|чайным|чайными|чайных	<font color="#007000">noun</font> чайная (f) <br>\ntea house
человекообразный(transitive)|человекообразен|человекообразна|человекообразно|человекообразны	<font color="#007000">adjective</font> человекообразный<br>\nanthropoid, hominoid, manlike, resembling man
